# ROAD NETWORK GRAPH - TIRANA, ALBANIA - NJESIA 7 
# Data Source: OpenStreetMap 
# Graph Type: Directed weighted graph
# Weight Unit: Meters (great-circle distance)
# Coordinate System: WGS84
# Contains: Road network edges with distances
source,target,weight
342239742,6887083368,16.48
6887083368,342239742,16.48
6887083368,6887083369,16.59
6887083369,6887083368,16.59
6887083369,342239744,35.09
342239744,6887083369,35.09
342239744,6887083370,32.53
6887083370,342239744,32.53
6887083370,1840234366,34.84
1840234366,6887083370,34.84
1840234366,1843869656,14.43
1843869656,1840234366,14.43
1843869656,342239750,45.17
342239750,1843869656,45.17
4670757011,1840234610,5.76
1840234610,4670758061,20.02
4670758061,1840234494,10.46
1840234494,1840234704,11.64
1840234704,5336036012,39.53
5336036012,5336036011,4.67
5336036011,1840234388,9.24
342239744,6887030720,38.39
6887030720,6887030719,20.33
6887030719,1840234392,20.54
1840234392,1840234496,36.93
1840234496,1840234310,38.32
1840234310,1840234607,26.56
1840234607,1840234330,46.52
1840234330,1840234368,20.79
1843869703,1843869885,16.31
1843869885,1843869703,16.31
1843869885,4664985039,10.35
4664985039,1843869885,10.35
4664985039,576989614,18.19
576989614,4664985039,18.19
576989614,576989613,22.71
576989613,576989614,22.71
576989613,576989612,58.69
576989612,576989613,58.69
576989621,6236347540,25.39
6236347540,576989621,25.39
6236347540,576989620,20.75
576989620,6236347540,20.75
576989620,576989619,58.17
576989619,576989620,58.17
576989619,4593268898,26.35
4593268898,576989619,26.35
1843884310,5400922720,40.38
5400922720,1843884310,40.38
5400922720,5361337539,10.80
5361337539,5400922720,10.80
5361337539,4671252605,8.72
4671252605,5361337539,8.72
4671252605,6887186613,7.18
6887186613,4671252605,7.18
6887186613,4663284211,8.21
4663284211,6887186613,8.21
1843869665,1843869908,8.36
1843869908,1843869665,8.36
1843869908,6236347530,9.93
6236347530,1843869908,9.93
6236347530,6236347534,13.50
6236347534,6236347530,13.50
6236347534,6236347533,5.54
6236347533,6236347534,5.54
6236347533,6236347532,3.16
6236347532,6236347533,3.16
6236347532,6236347531,2.25
6236347531,6236347532,2.25
6236347531,1843869631,3.45
1843869631,6236347531,3.45
1843869631,1843869730,10.40
1843869730,1843869631,10.40
1843869730,576989627,5.24
576989627,1843869730,5.24
576989627,576989626,14.19
576989626,576989627,14.19
576989626,576989625,7.07
576989625,576989626,7.07
576989625,4671258930,11.15
4671258930,576989625,11.15
4671258930,6236347536,11.91
6236347536,4671258930,11.91
6236347536,1843869722,33.65
1843869722,6236347536,33.65
1843869722,6236358273,12.14
6236358273,1843869722,12.14
6236358273,6236347537,10.68
6236347537,6236358273,10.68
6236347537,6236347529,12.79
6236347529,6236347537,12.79
6236347529,576989634,9.17
576989634,6236347529,9.17
576989629,576989615,67.41
576989615,576989629,67.41
576989615,6918291445,74.10
6918291445,576989615,74.10
6918291445,576989628,10.21
576989628,6918291445,10.21
576989632,4664985072,8.69
4664985072,576989632,8.69
4664985072,4664985071,4.82
4664985071,4664985072,4.82
4664985071,576989631,4.35
576989631,4664985071,4.35
576989631,4664985073,8.07
4664985073,576989631,8.07
4664985073,4664985074,11.82
4664985074,4664985073,11.82
4664985074,4664985075,30.39
4664985075,4664985074,30.39
4664985075,4664985076,54.29
4664985076,4664985075,54.29
4664985076,1843869716,36.13
1843869716,4664985076,36.13
1843869691,576989636,27.27
576989636,1843869691,27.27
576989636,6236347535,15.94
6236347535,576989636,15.94
6236347535,576989625,3.27
576989625,6236347535,3.27
