# ROAD NETWORK GRAPH - SHKODER, ALBANIA
# Data Source: OpenStreetMap 
# Graph Type: Directed weighted graph
# Weight Unit: Meters (great-circle distance)
# Coordinate System: WGS84
# Contains: Road network edges with distances
# V = 1,744; E = 3,523 
source,target,weight
1841779106,3738789762,19.75
3738789762,3208853071,12.57
3405456135,3250914262,18.45
3250914262,3405456136,6.52
3405456136,894115989,7.91
3250913851,3306252744,3.07
3306252744,3306252736,2.01
3306252736,3250913850,4.63
3311798203,3738764485,51.45
3738764485,3311798203,51.45
3738764485,3738764483,6.39
3738764483,3738764485,6.39
3738764483,283588108,9.71
283588108,3738764483,9.71
3767245264,3250913853,11.22
3250913853,3250913854,5.85
3250913854,1841951374,5.16
1841951374,3405456128,25.20
3405456128,3405456129,27.96
3405456129,3405456131,25.24
3405456131,4891796151,14.04
4891796151,615129718,12.68
5761683609,3208852942,5.18
3208852942,5761683609,5.18
3208852942,3208852944,15.44
3208852944,3208852942,15.44
3208852944,5761683604,3.07
5761683604,3208852944,3.07
5761683604,1841779101,7.39
1841779101,5761683604,7.39
1841779101,5761683600,4.18
5761683600,1841779101,4.18
5761683600,3208852959,4.99
3208852959,5761683600,4.99
3208852959,3208852960,6.94
3208852960,3208852959,6.94
3208852960,6126268343,4.89
6126268343,3208852960,4.89
6126268343,3208853062,9.32
3208853062,6126268343,9.32
3208853062,1841779104,10.20
1841779104,3208853062,10.20
1841779104,5938816059,45.55
5938816059,1841779104,45.55
5938816059,873829003,9.45
873829003,5938816059,9.45
4531762586,5928596227,7.03
5928596227,3250914261,96.36
3250914261,4531789985,3.33
7920674669,3405456137,9.86
3405456137,7920674669,9.86
3405456137,3250914263,6.57
3250914263,3405456137,6.57
3250914263,12029938734,20.20
12029938734,3250914263,20.20
12029938734,4539321702,4.92
4539321702,12029938734,4.92
662406482,5931297524,11.29
5931297524,662406482,11.29
5931297524,3405456130,17.90
3405456130,5931297524,17.90
3405456130,5208132188,13.04
5208132188,3405456130,13.04
5208132188,1841779092,6.50
1841779092,5208132188,6.50
1843284179,5931297765,33.75
5931297765,1843284179,33.75
5931297765,3314126094,38.39
3314126094,5931297765,38.39
3314126094,5931297764,35.35
5931297764,3314126094,35.35
5931297764,3305233303,20.29
3305233303,5931297764,20.29
3305233303,3305233276,25.55
3305233276,3305233303,25.55
3305233276,1843284177,18.33
1843284177,3305233276,18.33
1843284177,4891796157,21.52
4891796157,1843284177,21.52
4891796157,3305233186,14.01
3305233186,4891796157,14.01
3305233186,3758772358,41.98
3758772358,3305233186,41.98
3758772358,5208133624,7.28
5208133624,3758772358,7.28
5208133624,1841951349,2.62
