# ROAD NETWORK GRAPH - TIRANA, ALBANIA - NJESIA 9 
# Data Source: OpenStreetMap 
# Graph Type: Directed weighted graph
# Weight Unit: Meters (great-circle distance)
# Coordinate System: WGS84
# Contains: Road network edges with distances
source,target,weight
277569492,6878899071,4.19
6878899071,277569492,4.19
6878899071,6878899070,5.40
6878899070,6878899071,5.40
6878899070,1847323212,11.29
1847323212,6878899070,11.29
1847323212,6878899067,6.31
6878899067,1847323212,6.31
6878899067,6990959561,9.63
6990959561,6878899067,9.63
6990959561,1847323138,57.55
1847323138,6990959561,57.55
1847323138,1847323402,14.93
1847323402,1847323138,14.93
1847323402,1847323311,38.65
1847323311,1847323402,38.65
1847323311,4592868971,27.17
4592868971,1847323311,27.17
4592868971,4573037547,23.45
4573037547,4592868971,23.45
4573037547,11336930521,68.65
11336930521,4573037547,68.65
11336930521,1847323488,6.73
1847323488,11336930521,6.73
12993625715,11200981450,1.95
11200981450,12993625715,1.95
11200981450,13056522471,9.38
13056522471,11200981450,9.38
13056522471,12168558932,58.96
12168558932,13056522471,58.96
12168558932,3386070767,50.01
3386070767,12168558932,50.01
3386070767,10879556350,37.21
10879556350,3386070767,37.21
10879556350,4584301476,3.34
4584301476,10879556350,3.34
4584301476,10566591778,8.44
10566591778,4584301476,8.44
10566591778,11200981454,11.44
11200981454,10566591778,11.44
11200981454,11220615605,17.78
11220615605,11200981454,17.78
11220615605,10863284201,6.69
10863284201,11220615605,6.69
10863284201,10860300030,22.82
10860300030,10863284201,22.82
10860300030,10860267301,18.79
10860267301,10860300030,18.79
10860267301,1844115475,13.07
1844115475,10860267301,13.07
1844115475,1844115446,29.83
1844115446,1844115475,29.83
1844115446,11889871256,12.08
11889871256,1844115446,12.08
11889871256,10869384314,20.19
10869384314,11889871256,20.19
10869384314,11889871257,15.15
11889871257,10869384314,15.15
11889871257,9139001390,5.96
9139001390,11889871257,5.96
9139001390,10869384313,4.88
10869384313,9139001390,4.88
10869384313,10981715507,67.44
10981715507,10869384313,67.44
10981715507,342234392,22.00
342234392,10981715507,22.00
342234392,4584301694,24.13
4584301694,342234392,24.13
4584301694,4584301798,21.31
4584301798,4584301694,21.31
4584301798,5346681308,14.58
5346681308,4584301798,14.58
5346681308,5346936333,6.37
5346936333,5346681308,6.37
5346936333,10900350047,9.27
10900350047,5346936333,9.27
10900350047,342234396,4.37
342234396,10900350047,4.37
342235723,6892758210,3.92
6892758210,342235723,3.92
6892758210,6892758208,4.07
6892758208,6892758210,4.07
6892758208,1843955903,79.73
1843955903,6892758208,79.73
1843955903,1843955006,56.78
1843955006,1843955903,56.78
1843955006,1844115529,27.77
1844115529,1843955006,27.77
1844115529,6988667671,7.39
6988667671,1844115529,7.39
6988667671,4584301844,7.93
4584301844,6988667671,7.93
4584301844,1843955753,38.74
1843955753,4584301844,38.74
1843955753,10932562719,5.69
10932562719,1843955753,5.69
10932562719,6310290609,26.74
6310290609,10932562719,26.74
6310290609,10932562724,4.74
10932562724,6310290609,4.74
10932562724,6310290605,24.72
6310290605,10932562724,24.72
6310290605,10932562723,4.19
10932562723,6310290605,4.19
10932562723,11220621401,18.51
11220621401,10932562723,18.51
11220621401,6886403365,5.16
6886403365,11220621401,5.16
6886403365,342235729,6.82
342235729,6886403365,6.82
342235729,6886403363,6.91
6886403363,342235729,6.91
6886403363,12384784863,58.56
12384784863,6886403363,58.56
12384784863,11635484311,4.03
11635484311,12384784863,4.03
11635484311,342234396,9.98
342234396,11635484311,9.98
342235729,6886403362,5.35
6886403362,342235729,5.35
6886403362,10932588117,16.67
10932588117,6886403362,16.67
10932588117,1847297576,14.91
1847297576,10932588117,14.91
1847297576,2110539291,10.14
2110539291,1847297576,10.14
2110539291,6988667636,10.59
6988667636,2110539291,10.59
6988667636,6887210142,12.27
6887210142,6988667636,12.27
6887210142,1843955717,14.69
1843955717,6887210142,14.69
1843955717,342236311,11.91
342236311,1843955717,11.91
342236311,1847297850,14.25
1847297850,342236311,14.25
1847297850,6988667635,10.48
6988667635,1847297850,10.48
6988667635,1847297676,11.10
1847297676,6988667635,11.10
1847297676,6893066600,20.63
6893066600,1847297676,20.63
6893066600,4584299353,6.97
4584299353,6893066600,6.97
4584299353,342236316,14.96
342236316,4584299353,14.96
342236316,1847297859,6.21
1847297859,342236316,6.21
1847297859,4584299352,8.46
4584299352,1847297859,8.46
4584299352,10909251652,5.12
10909251652,4584299352,5.12
10909251652,342236317,12.44
342236317,10909251652,12.44
342236317,1843955951,15.33
1843955951,342236317,15.33
1843955951,6988667632,4.58
6988667632,1843955951,4.58
6988667632,342236319,15.36
342236319,6988667632,15.36
342236319,4584299351,15.46
4584299351,342236319,15.46
4584299351,1847297595,7.04
1847297595,4584299351,7.04
1847297595,6988667631,6.94
6988667631,1847297595,6.94
6988667631,1847297614,12.68
1847297614,6988667631,12.68
1847297614,4584301823,23.27
4584301823,1847297614,23.27
4584301823,342236323,26.58
342236323,4584301823,26.58
1847323093,4592868038,7.47
4592868038,1847323093,7.47
4592868038,11981089179,77.94
11981089179,4592868038,77.94
11981089179,388273876,54.70
388273876,11981089179,54.70
388273876,4592868067,6.42
4592868067,388273876,6.42
4592868067,6991138313,6.89
6991138313,4592868067,6.89
6991138313,6991138314,8.43
6991138314,6991138313,8.43
6991138314,6991138315,10.59
6991138315,6991138314,10.59
6991138315,388273879,9.74
388273879,6991138315,9.74
388273879,6991138316,7.38
6991138316,388273879,7.38
6991138316,6991138317,6.60
6991138317,6991138316,6.60
6991138317,6991138318,7.81
6991138318,6991138317,7.81
6991138318,4592868066,8.14
4592868066,6991138318,8.14
4592868066,1847323340,9.85
1847323340,4592868066,9.85
1847323340,4592868065,20.66
4592868065,1847323340,20.66
4592868065,388273897,14.68
388273897,4592868065,14.68
455309490,4587670609,28.50
4587670609,4587670610,35.45
4587670610,1947750153,57.82
1947750153,12162347389,56.18
12162347389,4587670611,4.26
4587670611,342230639,80.94
1843574736,4587669875,29.38
4587669875,1843574736,29.38
4587669875,6990776063,4.61
6990776063,4587669875,4.61
6990776063,1843575065,3.96
1843575065,6990776063,3.96
1843575065,1843575038,5.42
1843575038,1843575065,5.42
1843575038,455309505,6.52
455309505,1843575038,6.52
455309505,6990776064,5.02
6990776064,455309505,5.02
6990776064,455309512,3.12
455309512,6990776064,3.12
455309512,455309515,3.28
455309515,455309512,3.28
455309515,455309519,5.11
455309519,455309515,5.11
455309519,4587022609,4.95
4587022609,455309519,4.95
4587022609,455309524,4.23
455309524,4587022609,4.23
455309524,455309527,9.02
455309527,455309524,9.02
494155480,277569124,85.30
277569124,494155480,85.30
494155690,4551484182,7.06
4551484182,494155690,7.06
4551484182,13013431804,1.87
13013431804,4551484182,1.87
13013431804,11342054588,52.57
11342054588,13013431804,52.57
11342054588,11342054590,13.80
11342054590,11342054588,13.80
11342054590,6959218897,58.10
6959218897,11342054590,58.10
6959218897,1867590713,6.08
1867590713,6959218897,6.08
1867590713,4587669753,30.00
4587669753,1867590713,30.00
4587669753,896790428,5.95
896790428,4587669753,5.95
896790428,11341948729,35.23
11341948729,896790428,35.23
11341948729,1867590715,68.94
1867590715,11341948729,68.94
1867590715,11201038519,27.56
11201038519,1867590715,27.56
11201038519,11341948717,29.78
11341948717,11201038519,29.78
507807438,1747986356,120.75
1747986356,507807438,120.75
1747986356,2941477790,39.80
2941477790,1747986356,39.80
2941477790,4592869006,19.93
4592869006,2941477790,19.93
4592869006,507807567,20.23
507807567,4592869006,20.23
507807567,4583911465,27.18
4583911465,507807567,27.18
4583911465,4583911464,32.15
4583911464,4583911465,32.15
4583911464,1880066902,40.55
1880066902,4583911464,40.55
1880066902,2941477731,43.64
2941477731,1880066902,43.64
2941477731,11746085811,2.62
11746085811,2941477731,2.62
11746085811,507807593,5.22
507807593,11746085811,5.22
507886865,4583911413,6.08
4583911413,507808255,11.57
507808255,4583911412,13.08
4583911412,7185326183,11.13
7185326183,4583911411,43.46
4583911411,507808259,5.50
507808259,4583911410,5.05
4583911410,507808269,8.42
507889601,6879695867,37.24
6879695867,507889601,37.24
6879695867,6879695868,6.72
6879695868,6879695867,6.72
6879695868,6879695869,13.27
6879695869,6879695868,13.27
6879695869,6879695870,14.32
6879695870,6879695869,14.32
6879695870,6879695871,15.04
6879695871,6879695870,15.04
6879695871,6879695872,16.76
6879695872,6879695871,16.76
6879695872,6879695873,11.20
6879695873,6879695872,11.20
6879695873,6879695874,9.92
6879695874,6879695873,9.92
6879695874,507886805,23.42
507886805,6879695874,23.42
507886805,7027438550,11.46
7027438550,507886805,11.46
7027438550,507886809,41.69
507886809,7027438550,41.69
507886809,6988550744,13.60
6988550744,507886809,13.60
6988550744,6879700888,48.22
6879700888,6988550744,48.22
6879700888,507886813,39.78
507886813,6879700888,39.78
507886813,6879700885,5.18
6879700885,507886813,5.18
6879700885,507886816,47.11
507886816,6879700885,47.11
507886816,6988550745,11.23
6988550745,507886816,11.23
6988550745,6988550747,39.49
6988550747,6988550745,39.49
6988550747,507886821,18.21
507886821,6988550747,18.21
507886821,507878876,66.17
507878876,507886821,66.17
507878876,4583911381,46.80
4583911381,507878876,46.80
4583911381,4583911382,15.12
4583911382,4583911381,15.12
4583911382,507878887,13.59
507878887,4583911382,13.59
507878887,507878911,15.69
507878911,507878887,15.69
507878911,12358854826,16.29
12358854826,507878911,16.29
12358854826,6879636807,3.66
6879636807,12358854826,3.66
6879636807,507878920,10.95
507878920,6879636807,10.95
507878920,507878927,20.69
507878927,507878920,20.69
507878927,507878936,18.53
507878936,507878927,18.53
507878936,507878943,21.89
507878943,507878936,21.89
507878943,507893217,15.44
507893217,507878943,15.44
507893217,507878951,16.03
507878951,507893217,16.03
507878951,507878961,17.98
507878961,507878951,17.98
507878961,507878967,25.61
507878967,507878961,25.61
507878967,507878970,25.48
507878970,507878967,25.48
507878970,507878974,29.47
507878974,507878970,29.47
507878974,507878988,16.25
507878988,507878974,16.25
507878799,507886901,61.35
507886901,507878799,61.35
507886901,6710958255,43.13
6710958255,507886901,43.13
6710958255,507886903,29.85
507886903,6710958255,29.85
507886903,6958130473,22.52
6958130473,507886903,22.52
6958130473,507886865,60.58
507886865,6958130473,60.58
4583911392,4583911393,12.12
4583911393,4583911392,12.12
4583911393,4583911394,3.23
4583911394,4583911393,3.23
4583911394,4583911395,6.18
4583911395,4583911394,6.18
4583911395,507886916,11.97
507886916,4583911395,11.97
507886916,507886913,115.05
507886913,507886916,115.05
507892950,507892973,70.47
507892973,507892950,70.47
507807881,12358539586,7.50
12358539586,507807881,7.50
12358539586,4583911378,7.74
4583911378,12358539586,7.74
4583911378,507893069,30.64
507893069,4583911378,30.64
507893069,4681969148,14.68
4681969148,507893069,14.68
4681969148,507893073,17.29
507893073,4681969148,17.29
507893073,6988555199,19.10
6988555199,507893073,19.10
6988555199,507893075,10.11
507893075,6988555199,10.11
507807690,6879837415,60.77
6879837415,507807690,60.77
6879837415,507889666,64.34
507889666,6879837415,64.34
507889666,13277158153,13.16
13277158153,507889666,13.16
13277158153,11922602329,41.70
11922602329,13277158153,41.70
11922602329,6879837410,5.79
6879837410,11922602329,5.79
6879837410,13277158148,69.44
13277158148,6879837410,69.44
13277158148,11922515637,26.02
11922515637,13277158148,26.02
11922515637,2941539524,99.31
2941539524,11922515637,99.31
2941539524,6919732934,52.78
6919732934,2941539524,52.78
6919732934,4142702843,47.17
4142702843,6919732934,47.17
4142702843,7027438558,38.07
7027438558,4142702843,38.07
7027438558,7027438557,10.87
7027438557,7027438558,10.87
7027438557,7027438556,11.40
7027438556,7027438557,11.40
7027438556,507889655,10.06
507889655,7027438556,10.06
507889655,6919732942,9.58
6919732942,507889655,9.58
6919732942,576403080,36.18
576403080,6919732942,36.18
576403080,576403083,22.19
576403083,576403080,22.19
576403083,576407589,28.94
576407589,576403083,28.94
576407589,6879793055,75.16
6879793055,576407589,75.16
6879793055,6919732939,14.16
6919732939,6879793055,14.16
6919732939,6919732938,8.20
6919732938,6919732939,8.20
6919732938,1844091168,15.95
1844091168,6919732938,15.95
1844091168,6919732937,8.21
6919732937,1844091168,8.21
6919732937,1844090991,37.95
1844090991,6919732937,37.95
1844090991,576403128,37.04
576403128,1844090991,37.04
576403128,6919732936,56.33
