# ROAD NETWORK GRAPH - TIRANA, ALBANIA
# Data Source: OpenStreetMap 
# Graph Type: Directed weighted graph
# Weight Unit: Meters (great-circle distance)
# Coordinate System: WGS84
# Contains: Road network edges with distances
# V = 9,433; E = 18,365;
source,target,weight
4548140918,4548140912,3.73
4548140912,4647977643,38.08
4647977643,4647977649,25.70
4647977649,4548140905,42.72
4548140905,4391194887,6.21
4391194887,2879673205,9.88
2879673205,4548140911,47.50
4548140911,1867590655,6.86
1867590655,4548140909,6.13
4548140909,11117968899,38.45
11117968899,3377273791,12.65
3377273791,4548140906,61.80
4548140906,3377267377,5.16
3377267377,4546507334,45.53
4546507334,1831370125,5.95
15460534,4548140917,7.90
4548140917,6883615023,42.26
6883615023,3377273792,9.87
3377273792,4548140910,31.04
4548140910,1867590655,4.58
1867590655,4548140908,4.58
4548140908,6937947473,39.21
6937947473,4548140902,26.81
4548140902,15492727,4.34
15492727,4548140899,4.74
4548140899,11010723358,47.36
11010723358,4546181450,43.80
4546181450,1867590632,4.89
15492898,2608865136,5.28
2608865136,11108279927,3.94
11108279927,11140003889,49.27
11140003889,11140003891,4.00
11140003891,11140003896,6.50
11140003896,11140003893,18.77
11140003893,4539916146,2.07
4539916146,6938359631,3.39
6938359631,15492891,2.46
4549222967,15492804,9.35
15492804,4549222967,9.35
15492804,4549222959,5.96
4549222959,15492804,5.96
559762636,9986532329,24.56
9986532329,559762636,24.56
9986532329,2556931400,23.46
2556931400,9986532329,23.46
2556931400,559762633,21.33
559762633,2556931400,21.33
559762633,8697692160,30.92
8697692160,559762633,30.92
8697692160,559762629,40.43
559762629,8697692160,40.43
559762629,6946755981,32.96
6946755981,559762629,32.96
6946755981,4548016658,43.02
4548016658,6946755981,43.02
4551140759,5893087932,8.42
5893087932,5893087933,9.62
5893087933,5893087934,10.53
5893087934,5893087931,15.86
5893087931,4555708980,25.15
1843574675,4658917532,28.11
4658917532,1843574675,28.11
4658917532,11074197000,69.29
11074197000,4658917532,69.29
11074197000,4659466154,24.37
4659466154,11074197000,24.37
4659466154,11384713254,4.10
11384713254,4659466154,4.10
11384713254,283597343,25.71
283597343,11384713254,25.71
283597343,1843575149,10.61
1843575149,283597343,10.61
1843575149,4511981759,20.81
4511981759,1843575149,20.81
4511981759,5624473243,11.22
5624473243,4511981759,11.22
5624473243,1843575180,31.01
1843575180,5624473243,31.01
1843575180,5629388890,70.18
5629388890,1843575180,70.18
5629388890,4658917533,43.44
4658917533,5629388890,43.44
4658917533,4551140748,36.44
4551140748,4658917533,36.44
4642346188,4642356933,3.20
4642356933,4642346188,3.20
4642356933,4642346182,7.65
4642346182,4642356933,7.65
4642346182,10171441585,11.14
10171441585,4642346182,11.14
10171441585,4642356929,8.11
4642356929,10171441585,8.11
4642356929,2418944834,9.38
2418944834,4642356929,9.38
2418944834,4642356931,12.26
4642356931,2418944834,12.26
4642356931,7871709156,10.37
7871709156,4642356931,10.37
7871709156,4642356930,12.70
4642356930,7871709156,12.70
4642356930,7871709157,12.19
7871709157,4642356930,12.19
7871709157,4642356932,12.84
4642356932,7871709157,12.84
4642356932,429652060,20.46
429652060,4642356932,20.46
429652060,4642356902,9.78
4642356902,429652060,9.78
4642356902,4642356924,5.95
4642356924,4642356902,5.95
4642356924,7871697583,10.68
7871697583,4642356924,10.68
7871697583,4642356925,11.06
4642356925,7871697583,11.06
4642356925,4642356923,10.44
