# ROAD NETWORK GRAPH - TOKYO
# Data Source: OpenStreetMap 
# Graph Type: Directed weighted graph
# Weight Unit: Meters (great-circle distance)
# Coordinate System: WGS84
# Contains: Road network edges with distances
# V = 4,968; E = 10,620;
source,target,weight
252053570,2398005905,6.76
2398005905,252053570,6.76
366924632,3817871240,35.87
3817871240,366924632,35.87
3817871240,366924634,25.70
366924634,3817871240,25.70
366924634,366924636,32.28
366924636,366924634,32.28
366924636,6170421252,17.08
6170421252,366924636,17.08
6170421252,1094262850,8.51
1094262850,6170421252,8.51
1094262850,475368488,22.47
475368488,1094262850,22.47
475368488,1094262765,33.11
1094262765,475368488,33.11
1094262765,4384718919,91.73
4384718919,1094262765,91.73
4384718919,366924640,7.53
366924640,4384718919,7.53
366924771,366924632,46.29
366924632,366924771,46.29
10251046685,10273580591,9.51
10273580591,472446994,6.61
472446994,2393558997,25.65
2393558997,4717672408,16.35
4717672408,10273792637,18.54
10273792637,10273792639,9.21
10273792639,2264064226,23.29
2264064226,10605479604,32.59
10605479604,2393558962,6.23
2393558962,1805702538,13.68
1806870868,467036733,9.48
467036733,1806870868,9.48
467036733,10605469625,10.14
10605469625,467036733,10.14
10605469625,10605411017,84.86
10605411017,10605469625,84.86
10605411017,2401040281,5.78
2401040281,10605411017,5.78
472360347,2401069463,12.13
2401069463,9905815586,8.65
9905815586,9905815587,6.70
9905815587,1666084456,7.43
1666084456,472382635,9.41
472382635,472382633,50.28
472382633,11006985241,157.31
11006985241,7933069568,10.76
7933069568,7933069562,18.96
7933069562,7933069554,11.22
7933069554,1666084472,50.13
1666084472,9905815592,29.04
9905815592,9905815593,29.44
9905815593,2401069470,7.11
2401069470,2401069459,4.66
2401069459,1666084495,54.77
1666084495,2401069457,7.18
2401069457,2704049825,15.03
2704049825,1666084496,36.41
1666084496,1666084498,22.34
1666084498,1666084500,25.55
1666084500,2401069438,13.78
2401069438,1666084502,9.42
1666084502,1666084515,25.36
1666084515,1666084504,31.60
1666084504,2401069429,15.91
2401069429,1666084499,20.61
1666084499,2401069433,8.92
2401069433,4716326296,91.53
4716326296,1666084455,61.73
1666084455,13091841093,30.62
13091841093,2393573053,5.25
2393573053,2606035893,15.64
472382732,3809762376,7.12
3809762376,472382732,7.12
3809762376,472382741,43.02
472382741,3809762376,43.02
472382741,472382740,12.86
472382740,472382741,12.86
472382740,472382756,3.75
472382756,472382740,3.75
472382756,472382751,33.63
472382751,472382756,33.63
472382751,472382749,3.96
472382749,472382751,3.96
472382749,472382755,20.37
472382755,472382749,20.37
472382755,472382737,25.58
472382737,472382755,25.58
472382737,472382734,27.07
472382734,472382737,27.07
472382734,472382733,35.18
472382733,472382734,35.18
472382739,3809762380,5.57
3809762380,472382739,5.57
3809762380,1814198520,76.62
1814198520,3809762380,76.62
1814198520,1814198473,3.44
1814198473,1814198520,3.44
1814198473,472382740,55.57
472382740,1814198473,55.57
4716325385,4716325382,7.09
4716325382,4716325385,7.09
4716325382,472382742,19.36
472382742,4716325382,19.36
472382742,4716325381,2.79
4716325381,472382742,2.79
4716325381,472382743,1.87
472382743,4716325381,1.87
472382743,2704049822,38.32
2704049822,472382743,38.32
2704049822,1666084455,8.40
1666084455,2704049822,8.40
472382751,472382753,28.23
472382753,472382751,28.23
472382753,472382754,23.73
472382754,472382753,23.73
472382754,472382755,28.63
472382755,472382754,28.63
472382755,1814197743,2.23
1814197743,472382755,2.23
1814197743,1814196980,55.52
1814196980,1814197743,55.52
472382756,472382757,55.97
472382757,472382756,55.97
472382797,2393573006,7.44
2393573006,1674563141,2.11
1674563141,1674563162,22.00
1674563162,11127370497,12.39
11127370497,472382798,19.95
472382798,11127434820,25.08
11127434820,11127434821,3.73
11127434821,1666084366,19.01
1666084366,1676479125,16.61
1676479125,472382799,8.41
472382799,1676479126,6.92
1676479126,5929545658,21.62
5929545658,11127434840,13.43
11127434840,472382862,27.45
472382862,1582762220,59.97
1582762220,472382806,13.94
472382806,2401069445,8.35
2401069445,7947374192,74.60
7947374192,7947374191,39.38
1093685732,472382857,14.77
472382857,1093685732,14.77
472382857,2393573045,11.75
2393573045,472382857,11.75
2393573045,472382922,20.91
472382922,2393573045,20.91
472382922,472382936,25.28
472382936,472382922,25.28
472382936,4716049693,16.44
4716049693,472382936,16.44
4716049693,1665929814,13.12
1665929814,4716049693,13.12
1665929814,1665929815,6.93
1665929815,1665929814,6.93
1665929815,6147302096,16.71
6147302096,1665929815,16.71
6147302096,472382795,6.08
472382795,6147302096,6.08
472382858,3193716064,9.04
3193716064,472382858,9.04
3193716064,472382860,87.88
472382860,3193716064,87.88
472382860,1666084381,16.16
1666084381,472382860,16.16
472382925,2705533185,9.03
2705533185,472382924,47.98
472382924,472382923,57.90
472382932,2705533167,6.04
2705533167,4716623515,162.28
4716623515,472382926,8.17
472382922,3243954077,6.27
3243954077,472382922,6.27
3243954077,1093685834,87.58
1093685834,3243954077,87.58
1093685834,3243954074,4.77
3243954074,1093685834,4.77
3243954074,10273792628,17.41
10273792628,3243954074,17.41
475368988,4716623470,36.17
4716623470,475368988,36.17
4716623470,472446991,3.01
472446991,4716623470,3.01
472446994,3349162183,8.02
3349162183,472446994,8.02
3349162183,472447031,43.94
472447031,3349162183,43.94
472447031,472446995,49.33
472446995,472447031,49.33
472446995,472447248,34.49
472447248,472446995,34.49
472447248,472447265,7.56
472447265,472447248,7.56
472447265,472447023,15.95
472447023,472447265,15.95
472447023,472447021,11.88
472447021,472447023,11.88
472447021,472446997,39.77
472446997,472447021,39.77
472446997,472447273,18.56
472447273,472446997,18.56
472447273,472447274,16.54
472447274,472447273,16.54
472447274,472447278,17.95
472447278,472447274,17.95
472447278,472446989,24.59
472446989,472447278,24.59
472446989,2621323834,43.50
2621323834,472446989,43.50
2621323834,472446998,7.15
472446998,2621323834,7.15
472446998,472447209,10.81
472447209,472446998,10.81
472447209,475368788,59.70
475368788,472447209,59.70
475368788,472447214,29.37
472447214,475368788,29.37
472447214,472447218,55.83
472447218,472447214,55.83
472447218,472447220,45.92
472447220,472447218,45.92
472447220,472447001,47.63
472447001,472447220,47.63
472447001,4163312811,5.85
4163312811,472447001,5.85
4163312811,472447223,26.43
472447223,4163312811,26.43
472447223,472447018,44.32
472447018,472447223,44.32
472447018,9791542150,14.92
9791542150,472447018,14.92
1664033671,2401040259,7.16
2401040259,1664033671,7.16
2401040259,7942739606,5.44
7942739606,2401040259,5.44
7942739606,7942739605,32.83
7942739605,7942739606,32.83
7942739605,7942739599,45.48
7942739599,7942739605,45.48
7942739599,7942739536,93.33
7942739536,7942739599,93.33
7942739536,7942739535,27.58
7942739535,7942739536,27.58
472447011,5899162850,9.65
5899162850,472447011,9.65
5899162850,472447012,3.24
472447012,5899162850,3.24
472447012,1665929725,20.02
1665929725,472447012,20.02
1665929725,475368878,49.38
475368878,1665929725,49.38
475368878,472447013,32.18
